pubmed,explicit,pubmed_00000,0,80,until,Temporal,0.9561,Temporal.Asynchronous,0.9743
pubmed,explicit,pubmed_00000,0,96,by,Expansion,0.6734,Expansion.Manner,0.4431
pubmed,explicit,pubmed_00000,0,221,and,Expansion,0.7601,Expansion.Conjunction,0.6554
pubmed,explicit,pubmed_00000,0,399,and,Expansion,0.9045,Expansion.Conjunction,0.9053
pubmed,explicit,pubmed_00001,0,23,but,Comparison,0.9461,Comparison.Concession,0.8761
pubmed,explicit,pubmed_00001,0,39-40,especially-where,Contingency,0.5799,Contingency.Cause,0.2201
pubmed,explicit,pubmed_00002,0,13,however,Comparison,0.8607,Comparison.Concession,0.8038
pubmed,explicit,pubmed_00002,0,78,but,Comparison,0.8998,Comparison.Concession,0.5144
pubmed,explicit,pubmed_00002,0,92,if,Contingency,0.925,Contingency.Condition,0.935
pubmed,explicit,pubmed_00002,0,112,and,Expansion,0.8623,Expansion.Conjunction,0.8089
pubmed,explicit,pubmed_00003,0,36,and,Expansion,0.8644,Expansion.Conjunction,0.8559
pubmed,explicit,pubmed_00003,0,132,but,Comparison,0.8774,Comparison.Contrast,0.4901
pubmed,explicit,pubmed_00003,0,146,however,Comparison,0.9433,Comparison.Concession,0.7783
pubmed,explicit,pubmed_00003,0,148,if,Contingency,0.8735,Contingency.Condition,0.8833
pubmed,explicit,pubmed_00003,0,85-86,in-summary,Expansion,0.7331,Expansion.Conjunction,0.3713
pubmed,explicit,pubmed_00004,0,66,and,Expansion,0.916,Expansion.Conjunction,0.9446
pubmed,explicit,pubmed_00004,0,127,while,Comparison,0.6785,Comparison.Contrast,0.588
pubmed,explicit,pubmed_00005,0,24,but,Comparison,0.8892,Comparison.Contrast,0.4968
pubmed,explicit,pubmed_00005,0,74,and,Expansion,0.9298,Expansion.Conjunction,0.9147
pubmed,explicit,pubmed_00005,0,141,and,Expansion,0.8722,Expansion.Conjunction,0.8146
pubmed,explicit,pubmed_00005,0,219,also,Expansion,0.9682,Expansion.Conjunction,0.976
pubmed,explicit,pubmed_00006,0,92,and,Expansion,0.8244,Expansion.Conjunction,0.7345
pubmed,explicit,pubmed_00006,0,157,and,Expansion,0.8107,Expansion.Conjunction,0.7544
pubmed,explicit,pubmed_00006,0,194,and,Expansion,0.9088,Expansion.Conjunction,0.9097
