bbc,explicit,bbc_00000,2,121,but,Comparison,0.9082,Comparison.Concession,0.6064
bbc,explicit,bbc_00000,2,152,however,Comparison,0.9312,Comparison.Concession,0.747
bbc,explicit,bbc_00000,2,181,by,Expansion,0.5843,Expansion.Manner,0.4015
bbc,explicit,bbc_00000,2,191,and,Expansion,0.9266,Expansion.Conjunction,0.9195
bbc,explicit,bbc_00000,2,208,also,Expansion,0.8596,Expansion.Conjunction,0.8281
bbc,explicit,bbc_00000,3,249,but,Comparison,0.9345,Comparison.Concession,0.6024
bbc,explicit,bbc_00000,3,320,while,Expansion,0.3077,Expansion.Conjunction,0.3083
bbc,explicit,bbc_00000,3,347,and,Expansion,0.8874,Expansion.Conjunction,0.8462
bbc,explicit,bbc_00000,3,376,and,Expansion,0.9261,Expansion.Conjunction,0.9271
bbc,explicit,bbc_00000,3,377,also,Expansion,0.9278,Expansion.Conjunction,0.8989
bbc,explicit,bbc_00001,0,14,after,Temporal,0.8703,Temporal.Asynchronous,0.8495
bbc,explicit,bbc_00001,1,29,and,Expansion,0.8788,Expansion.Conjunction,0.9044
bbc,explicit,bbc_00001,1,113,after,Temporal,0.8618,Temporal.Asynchronous,0.7589
bbc,explicit,bbc_00001,1,116,earlier,Temporal,0.8871,Temporal.Asynchronous,0.9445
bbc,explicit,bbc_00001,2,212,however,Comparison,0.895,Comparison.Concession,0.6626
bbc,explicit,bbc_00001,2,224,and,Expansion,0.8789,Expansion.Conjunction,0.8645
bbc,explicit,bbc_00001,2,235,therefore,Contingency,0.9074,Contingency.Cause,0.9409
bbc,explicit,bbc_00001,2,243,but,Comparison,0.942,Comparison.Concession,0.882
bbc,explicit,bbc_00001,2,357,and,Expansion,0.9019,Expansion.Conjunction,0.8903
bbc,explicit,bbc_00001,2,420,and,Expansion,0.9376,Expansion.Conjunction,0.9484
bbc,explicit,bbc_00001,2,295-296-297,in-the-meantime,Temporal,0.5006,Temporal.Synchronous,0.5455
